Run Date,Symbol,Company,Sector,Industry,Total Score,Tech Score,Fund Score,Grade,Flags,Close (₹),Day Change %,EMA 20,EMA 50,EMA 200,EMA Stack ✓,Supertrend,% from 52W High,RSI (14),MACD,MACD Signal,MACD Histogram,MACD Cross ✓,ADX,Volume,20D Avg Volume,Volume Ratio,Market Cap (Cr),P/E Ratio,Forward P/E,ROE %,Debt/Equity,Revenue Growth %,Earnings Growth %,Price/Book,Dividend Yield %,Current Ratio,Screener Link,TradingView Link
2026-06-25,GOKEX,Gokaldas Exports Limited,Consumer Cyclical,Apparel Manufacturing,36.4,31.3,5.1,D,🔥 Breakout Confirmed | ✅ Supertrend Buy | 📊 High Volume | 📉 Tight Base,859.35,3.63,746.32,714.51,734.25,✗,Buy,88.14,78.23,35.2671,17.3141,17.953,,26.06,2050059,986730,2.08,6263.0,65.0,20.78961,4.72,58.934,5.3,-34.6,2.897772,0.0,1.499,https://www.screener.in/company/GOKEX/,https://www.tradingview.com/chart/?symbol=NSE:GOKEX
2026-06-25,IDEAFORGE,ideaForge Technology Limited,Technology,Computer Hardware,35.7,22.4,13.3,D,✅ Supertrend Buy | 📈 EMA Bull Stack,817.45,-5.0,868.97,774.77,579.48,✓,Buy,82.38,45.53,28.8221,45.1279,-16.3059,,36.58,340032,343758,0.99,3579.0,,29.560932,-2.82,13.974,594.4,,6.020205,0.0,2.622,https://www.screener.in/company/IDEAFORGE/,https://www.tradingview.com/chart/?symbol=NSE:IDEAFORGE
2026-06-25,CIPLA,Cipla Limited,Healthcare,Drug Manufacturers - Specialty & Generic,35.5,26.2,9.3,D,✅ Supertrend Buy | 📉 Tight Base,1437.9,0.33,1385.83,1359.41,1385.16,✗,Buy,86.75,65.96,14.0269,10.8909,3.136,,20.32,2145293,1917566,1.12,116338.0,29.983343,22.701685,11.74,1.778,-2.1,-54.6,3.37851,90.0,3.443,https://www.screener.in/company/CIPLA/,https://www.tradingview.com/chart/?symbol=NSE:CIPLA
2026-06-25,GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,34.4,15.6,18.8,D,🎯 VCP Pattern | 📉 Tight Base,2180.6,0.06,2200.56,2223.54,2074.74,✗,Sell,88.14,45.23,-28.6407,-33.3333,4.6926,,27.09,264412,687800,0.38,60797.0,44.70637,21.992506,14.07,5.646,14.3,6575.0,5.784012,23.0,1.772,https://www.screener.in/company/GLENMARK/,https://www.tradingview.com/chart/?symbol=NSE:GLENMARK
2026-06-25,CANBK,Canara Bank,Financial Services,Banks - Regional,33.0,10.8,22.2,D,✅ Supertrend Buy | 📉 Tight Base,130.15,-0.17,130.93,130.96,129.17,✗,Buy,82.54,49.12,1.0425,0.9207,0.1217,,11.96,19217828,30407379,0.63,116966.0,5.931463,5.563636,15.94,,-46.7,-9.8,0.99372697,323.0,,https://www.screener.in/company/CANBK/,https://www.tradingview.com/chart/?symbol=NSE:CANBK
2026-06-25,VBL,Varun Beverages Limited,Consumer Defensive,Beverages - Non-Alcoholic,32.6,16.8,15.8,D,📈 EMA Bull Stack | 🏆 Near 52W High | 📉 Tight Base,506.7,0.48,522.53,508.16,482.71,✓,Sell,91.17,42.03,1.3818,5.9319,-4.5501,,18.28,6476790,5767052,1.12,171702.0,53.890656,41.978344,,12.705,18.1,20.0,8.769066,39.0,,https://www.screener.in/company/VBL/,https://www.tradingview.com/chart/?symbol=NSE:VBL
2026-06-25,SRF,SRF Limited,Industrials,Conglomerates,31.900000000000002,16.6,15.3,D,✅ Supertrend Buy | 📉 Tight Base,2765.8,1.06,2712.92,2677.59,2758.17,✗,Buy,83.44,58.47,19.7701,19.9884,-0.2183,,8.91,247480,512652,0.48,81005.0,44.114605,30.617231,13.76,36.195,7.0,10.6,5.7688003,36.0,1.103,https://www.screener.in/company/SRF/,https://www.tradingview.com/chart/?symbol=NSE:SRF
2026-06-25,ASTRAL,Astral Limited,Industrials,Building Products & Equipment,31.6,10.8,20.8,D,📉 Tight Base,1536.7,0.87,1539.88,1547.18,1512.09,✗,Sell,86.88,49.09,-0.9235,-2.6033,1.6798,,11.49,338961,585956,0.58,39946.0,74.419426,44.036114,13.8,6.168,24.2,18.9,9.842066,24.0,1.762,https://www.screener.in/company/ASTRAL/,https://www.tradingview.com/chart/?symbol=NSE:ASTRAL
2026-06-25,COALINDIA,Coal India Limited,Energy,Thermal Coal,31.5,3.6,27.9,D,📉 Tight Base | 💎 High ROE,441.75,-0.59,453.83,454.85,424.59,✗,Sell,89.92,38.21,-4.2891,-2.6066,-1.6825,,13.74,4169224,15297152,0.27,268325.0,8.630327,7.578247,28.12,11.629,16.2,12.9,2.2526903,498.0,1.856,https://www.screener.in/company/COALINDIA/,https://www.tradingview.com/chart/?symbol=NSE:COALINDIA
2026-06-25,TORNTPOWER,Torrent Power Limited,Utilities,Utilities - Independent Power Producers,30.6,15.8,14.8,D,📉 Tight Base,1444.2,-0.73,1442.13,1471.49,1426.66,✗,Sell,79.45,48.42,-15.9593,-27.1408,11.1815,,19.29,276432,399995,0.69,71237.0,29.482794,22.546923,13.02,70.885,-0.8,-70.0,3.7372873,138.0,0.951,https://www.screener.in/company/TORNTPOWER/,https://www.tradingview.com/chart/?symbol=NSE:TORNTPOWER
2026-06-25,SIEMENS,Siemens Limited,Industrials,Specialty Industrial Machinery,30.200000000000003,14.4,15.8,D,📈 EMA Bull Stack | 🏆 Near 52W High | 📉 Tight Base,3561.5,-3.38,3674.36,3624.09,3361.39,✓,Sell,90.46,42.29,-0.0203,3.2392,-3.2595,,12.77,326149,443360,0.74,129197.0,76.58645,52.35844,,2.213,14.6,-36.4,9.328212,39.0,2.57,https://www.screener.in/company/SIEMENS/,https://www.tradingview.com/chart/?symbol=NSE:SIEMENS
2026-06-25,HINDALCO,Hindalco Industries Limited,Basic Materials,Aluminum,29.200000000000003,8.4,20.8,D,📉 Tight Base,976.6,-1.03,1034.32,1036.26,923.54,✗,Sell,83.04,34.1,-22.8736,-13.0821,-9.7916,,26.99,5029316,6579061,0.76,213150.0,15.844415,8.822408,10.29,72.598,20.4,-50.9,1.5490775,51.0,1.21,https://www.screener.in/company/HINDALCO/,https://www.tradingview.com/chart/?symbol=NSE:HINDALCO
2026-06-25,SAIL,Steel Authority of India Limited,Basic Materials,Steel,28.5,16.8,11.7,D,📈 EMA Bull Stack | 📉 Tight Base,171.42,1.32,183.3,182.75,159.52,✓,Sell,81.75,34.15,-4.7056,-2.3787,-2.3269,,29.47,15287405,17391945,0.88,70545.0,20.878971,10.736444,5.66,52.899,5.1,46.5,1.2149559,93.0,0.823,https://www.screener.in/company/SAIL/,https://www.tradingview.com/chart/?symbol=NSE:SAIL
2026-06-25,CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",27.6,19.0,8.6,D,🎯 VCP Pattern | 📉 Tight Base,275.25,1.03,271.98,270.46,274.32,✗,Sell,76.71,52.97,-0.6176,-1.8912,1.2737,,19.37,2054612,2623664,0.78,17994.0,,23.784058,-6.34,5.797,10.8,,5.977505,109.0,1.426,https://www.screener.in/company/CROMPTON/,https://www.tradingview.com/chart/?symbol=NSE:CROMPTON
2026-06-25,TATASTEEL,Tata Steel Limited,Basic Materials,Steel,27.200000000000003,8.4,18.8,D,📉 Tight Base,190.16,-1.76,199.23,201.12,187.13,✗,Sell,86.49,33.17,-2.904,-2.2562,-0.6477,,18.57,51305789,30462663,1.68,235356.0,21.816187,10.037766,11.16,89.017,12.5,125.2,2.3057842,210.0,0.748,https://www.screener.in/company/TATASTEEL/,https://www.tradingview.com/chart/?symbol=NSE:TATASTEEL
2026-06-25,CESC,CESC Limited,Utilities,Utilities - Regulated Electric,23.8,3.6,20.2,D,📉 Tight Base,169.4,-1.01,173.24,173.74,167.24,✗,Sell,82.84,42.72,-2.2924,-2.1181,-0.1743,,17.79,1277250,1429377,0.89,22274.0,14.435567,11.71848,12.55,164.311,5.6,17.8,1.7785846,354.0,0.921,https://www.screener.in/company/CESC/,https://www.tradingview.com/chart/?symbol=NSE:CESC
