Run Date,Symbol,Company,Sector,Industry,Total Score,Tech Score,Fund Score,Grade,Flags,Close (₹),Day Change %,EMA 20,EMA 50,EMA 200,EMA Stack ✓,Supertrend,% from 52W High,RSI (14),MACD,MACD Signal,MACD Histogram,MACD Cross ✓,ADX,Volume,20D Avg Volume,Volume Ratio,Market Cap (Cr),P/E Ratio,Forward P/E,ROE %,Debt/Equity,Revenue Growth %,Earnings Growth %,Price/Book,Dividend Yield %,Current Ratio,Screener Link,TradingView Link
2026-05-21,COALINDIA,Coal India Limited,Energy,Thermal Coal,45.0,18.0,27.0,C,✅ Supertrend Buy | 📈 EMA Bull Stack | 💎 High ROE,458.7,0.38,460.64,452.7,416.51,✓,Buy,93.37,49.61,1.842,3.6339,-1.792,,15.07,3756072,11015577,0.34,283609.0,9.120095,8.047218,28.12,11.629,16.2,12.9,2.3810017,480.0,1.856,https://www.screener.in/company/COALINDIA/,https://www.tradingview.com/chart/?symbol=NSE:COALINDIA
2026-05-21,PIDILITIND,Pidilite Industries Limited,Basic Materials,Specialty Chemicals,44.5,25.5,19.0,D,✅ Supertrend Buy | 💎 High ROE,1455.6,-0.01,1428.36,1410.79,1440.14,✗,Buy,92.42,57.93,23.2985,20.492,2.8065,,18.81,356329,1067046,0.33,149898.0,61.31557,48.584957,23.52,3.776,14.1,37.0,15.693462,69.0,2.38,https://www.screener.in/company/PIDILITIND/,https://www.tradingview.com/chart/?symbol=NSE:PIDILITIND
2026-05-21,TATASTEEL,Tata Steel Limited,Basic Materials,Steel,44.0,27.0,17.0,D,📈 EMA Bull Stack,207.01,-1.09,211.96,207.01,187.4,✓,Sell,92.25,44.36,1.5088,2.7938,-1.285,,20.34,56670462,29825933,1.9,260138.0,28.378231,11.094682,11.16,89.016,12.5,125.4,2.7365162,193.0,0.748,https://www.screener.in/company/TATASTEEL/,https://www.tradingview.com/chart/?symbol=NSE:TATASTEEL
2026-05-21,LT,Larsen & Toubro Limited,Industrials,Engineering & Construction,39.8,18.0,21.8,D,✅ Supertrend Buy | 📈 EMA Bull Stack,3910.7,-0.26,3950.06,3937.47,3857.6,✓,Buy,88.08,46.81,-5.15,12.649,-17.7991,,11.01,1972259,2534946,0.78,540431.0,33.597023,21.368074,16.95,97.64,11.7,-34.5,4.944806,97.0,1.251,https://www.screener.in/company/LT/,https://www.tradingview.com/chart/?symbol=NSE:LT
2026-05-21,DMART,Avenue Supermarts Limited,Consumer Defensive,Discount Stores,39.4,24.0,15.4,D,📈 EMA Bull Stack,4144.2,-2.17,4350.8,4268.49,4125.32,✓,Sell,83.73,35.17,-20.8476,22.6102,-43.4579,,24.28,346215,342934,1.01,269813.0,90.74798,58.345993,12.94,9.913,18.9,19.6,11.004714,0.0,1.977,https://www.screener.in/company/DMART/,https://www.tradingview.com/chart/?symbol=NSE:DMART
2026-05-21,ASIANPAINT,Asian Paints Limited,Basic Materials,Specialty Chemicals,39.3,31.5,7.8,D,✅ Supertrend Buy,2598.6,-0.08,2532.31,2466.35,2478.71,✗,Buy,87.03,61.71,59.3243,56.9608,2.3635,,27.93,586190,968162,0.61,249132.0,64.93753,51.941814,,17.609,3.7,-4.6,12.7180195,96.0,,https://www.screener.in/company/ASIANPAINT/,https://www.tradingview.com/chart/?symbol=NSE:ASIANPAINT
2026-05-21,MUTHOOTFIN,Muthoot Finance Limited,Financial Services,Credit Services,37.5,7.5,30.0,D,💎 High ROE,3309.3,0.17,3419.46,3441.02,3292.48,✗,Sell,80.43,42.61,-28.4915,-1.8945,-26.597,,13.67,1017971,822401,1.24,131389.0,12.408341,9.477159,30.41,379.707,53.7,126.7,3.6884842,91.0,128.286,https://www.screener.in/company/MUTHOOTFIN/,https://www.tradingview.com/chart/?symbol=NSE:MUTHOOTFIN
2026-05-21,POWERGRID,Power Grid Corporation of India Limited,Utilities,Utilities - Regulated Electric,37.4,21.0,16.4,D,📈 EMA Bull Stack,299.9,0.44,307.34,304.19,288.54,✓,Sell,92.29,39.56,-2.2137,0.2924,-2.5061,,25.96,5672695,9589690,0.59,278600.0,14.888169,15.038465,16.49,150.993,-5.0,9.6,2.8118575,408.0,0.625,https://www.screener.in/company/POWERGRID/,https://www.tradingview.com/chart/?symbol=NSE:POWERGRID
2026-05-21,PFC,Power Finance Corporation Limited,Financial Services,Credit Services,35.0,15.0,20.0,D,📈 EMA Bull Stack | 💎 High ROE,429.35,-0.52,445.23,434.51,403.01,✓,Sell,88.25,41.59,-1.0489,3.8694,-4.9183,,16.08,4861888,6573529,0.74,142234.0,5.4911456,6.6208367,20.47,586.017,-15.4,10.8,1.0704696,340.0,287.366,https://www.screener.in/company/PFC/,https://www.tradingview.com/chart/?symbol=NSE:PFC
2026-05-21,KPRMILL,K.P.R. Mill Limited,Consumer Cyclical,Textile Manufacturing,33.5,25.5,8.0,D,,958.55,0.2,929.01,912.14,945.59,✗,Sell,76.47,59.29,10.6694,12.6293,-1.9599,,24.85,121297,224989,0.54,32598.0,37.601738,26.390295,,6.46,-4.0,3.0,6.082238,54.0,,https://www.screener.in/company/KPRMILL/,https://www.tradingview.com/chart/?symbol=NSE:KPRMILL
2026-05-21,NTPC,NTPC Limited,Utilities,Utilities - Regulated Electric,32.2,18.0,14.2,D,✅ Supertrend Buy | 📈 EMA Bull Stack,392.45,0.78,393.81,386.71,359.21,✓,Buy,94.7,49.72,0.8664,2.6414,-1.775,,14.96,5386249,8064800,0.67,377006.0,21.492537,14.522522,,118.127,8.0,-1.6,1.9614471,0.0,,https://www.screener.in/company/NTPC/,https://www.tradingview.com/chart/?symbol=NSE:NTPC
2026-05-21,TATAPOWER,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,30.8,24.0,6.8,D,📈 EMA Bull Stack,413.5,-0.36,421.39,412.93,393.93,✓,Sell,88.94,45.02,-1.7079,2.9854,-4.6933,,25.0,4390666,7310922,0.6,131169.0,35.085472,27.142973,11.34,167.811,-12.8,-4.6,3.4646904,60.0,0.806,https://www.screener.in/company/TATAPOWER/,https://www.tradingview.com/chart/?symbol=NSE:TATAPOWER
2026-05-21,NHPC,NHPC Limited,Utilities,Utilities - Renewable,27.5,10.5,17.0,D,,79.5,0.56,79.77,79.16,79.18,✗,Sell,88.18,49.15,-0.365,0.1361,-0.5012,,18.41,15924979,14208123,1.12,79356.0,28.519855,12.34375,9.02,113.111,19.2,70.6,1.9183139,240.0,0.944,https://www.screener.in/company/NHPC/,https://www.tradingview.com/chart/?symbol=NSE:NHPC
2026-05-21,TITAN,Titan Company Limited,Consumer Cyclical,Luxury Goods,26.5,4.5,22.0,D,💎 High ROE,4106.4,0.11,4242.61,4250.67,3966.99,✗,Sell,89.17,40.44,-57.3265,-26.4091,-30.9174,,9.68,913576,1445359,0.63,362189.0,71.532936,47.432396,37.13,195.001,80.5,35.1,28.28082,27.0,1.276,https://www.screener.in/company/TITAN/,https://www.tradingview.com/chart/?symbol=NSE:TITAN
2026-05-21,PAYTM,One97 Communications Limited,Technology,Software - Infrastructure,26.5,16.5,10.0,D,✅ Supertrend Buy,1153.5,2.86,1132.16,1124.66,1128.93,✗,Buy,83.48,54.3,8.263,11.506,-3.243,,16.48,1415263,3376447,0.42,73979.0,135.31616,36.530087,3.56,1.073,18.4,,4.6229362,0.0,2.546,https://www.screener.in/company/PAYTM/,https://www.tradingview.com/chart/?symbol=NSE:PAYTM
2026-05-21,AXISBANK,Axis Bank Limited,Financial Services,Banks - Regional,25.9,4.5,21.4,D,,1249.8,0.93,1270.86,1283.82,1248.48,✗,Sell,88.12,42.05,-15.4628,-10.5176,-4.9452,,16.32,3562641,7081996,0.5,389727.0,14.833709,9.868505,13.15,,-11.2,6.4,1.8108186,8.0,,https://www.screener.in/company/AXISBANK/,https://www.tradingview.com/chart/?symbol=NSE:AXISBANK
2026-05-22,NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,Internet Retail,70.4,52.0,18.4,B,🔥 Fresh MACD Cross | ✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High,274.5,0.44,268.53,262.9,247.57,✓,Buy,96.11,59.8,3.7145,3.7075,0.007,✓,21.42,5838024,3213435,1.82,79391.0,390.49298,104.479126,14.34,82.405,28.4,290.2,57.31859,0.0,1.156,https://www.screener.in/company/NYKAA/,https://www.tradingview.com/chart/?symbol=NSE:NYKAA
2026-05-22,POLYCAB,Polycab India Limited,Industrials,Electrical Equipment & Parts,68.2,43.0,25.2,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High | 💎 High ROE,9193.5,-0.06,8754.25,8258.92,7500.27,✓,Buy,98.75,71.51,365.9882,349.2502,16.738,,37.17,231631,471656,0.49,139462.0,52.47847,37.64339,24.58,2.558,26.9,8.0,11.613577,38.0,1.841,https://www.screener.in/company/POLYCAB/,https://www.tradingview.com/chart/?symbol=NSE:POLYCAB
2026-05-22,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,68.0,49.0,19.0,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 📊 High Volume | 🏆 Near 52W High | 💎 High ROE,8308.5,2.85,7943.12,7745.19,7458.51,✓,Buy,99.05,71.14,143.2305,122.5275,20.703,,24.91,1425124,433308,3.29,120240.0,61.74777,39.105675,21.5,85.146,18.1,35.6,12.680638,24.0,1.065,https://www.screener.in/company/APOLLOHOSP/,https://www.tradingview.com/chart/?symbol=NSE:APOLLOHOSP
2026-05-22,JSWSTEEL,JSW Steel Limited,Basic Materials,Steel,67.0,40.0,27.0,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 📊 High Volume | 🏆 Near 52W High | 💎 High ROE,1281.3,-0.15,1269.12,1241.54,1173.14,✓,Buy,97.51,56.24,15.561,17.3691,-1.8081,,17.96,5339554,1952278,2.74,313743.0,14.090759,17.70393,27.26,94.155,14.2,991.8,3.1359012,55.0,1.491,https://www.screener.in/company/JSWSTEEL/,https://www.tradingview.com/chart/?symbol=NSE:JSWSTEEL
2026-05-22,MARICO,Marico Limited,Consumer Defensive,Household & Personal Products,65.0,46.0,19.0,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High | 💎 High ROE,831.85,-0.79,815.54,791.13,750.53,✓,Buy,98.0,63.18,18.1378,17.909,0.2288,,38.41,1305803,1841800,0.71,106832.0,60.800148,43.688892,41.39,12.394,22.1,14.5,25.187891,48.0,1.31,https://www.screener.in/company/MARICO/,https://www.tradingview.com/chart/?symbol=NSE:MARICO
2026-05-22,DIVISLAB,Divi's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,61.8,43.0,18.8,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High,6858.0,-0.51,6670.85,6460.47,6300.69,✓,Buy,97.42,65.33,165.4821,158.5065,6.9756,,39.2,151586,336947,0.45,182828.0,73.83939,58.911552,,0.584,12.3,-1.0,11.854679,44.0,,https://www.screener.in/company/DIVISLAB/,https://www.tradingview.com/chart/?symbol=NSE:DIVISLAB
2026-05-22,ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,61.6,43.0,18.6,B,✅ Supertrend Buy | 📈 EMA Bull Stack | 🏆 Near 52W High,2697.6,-0.27,2523.27,2340.23,2285.36,✓,Buy,96.24,70.95,138.106,129.1296,8.9764,,46.9,1606690,2993011,0.54,372527.0,36.899784,47.936844,13.66,119.56,20.3,,4.333867,5.0,1.035,https://www.screener.in/company/ADANIENT/,https://www.tradingview.com/chart/?symbol=NSE:ADANIENT
